Model,ASIN,Available in BF/CM Sheet,Link,Model Name,9/12/2022,9/13/2022,9/14/2022,9/15/2022
LP-RLXT-BLK,B08RJTGQFZ,,www.amazon.com/dp/B08RJTGQFZ,RelaxaTilt Foot Massager Black,Inactive,Inactive,Inactive,Inactive
LP-RVE-BLK,B095X932XG,,www.amazon.com/dp/B095X932XG,Rove Elliptical Machine ,Inactive,Inactive,Inactive,Inactive
LP-SNCPLS-SLV,B08927HJKH,,www.amazon.com/dp/B08927HJKH,Sonic Plus Silver,Inactive,Inactive,Inactive,Inactive
LP-SNCS1-BLK,B08SVTPRLS,,www.amazon.com/dp/B08SVTPRLS,Sonic S1 Massage Gun Black,Inactive,Inactive,Inactive,Inactive
LP-SNCS1-BLU,B08SWCKZHM,,www.amazon.com/dp/B08SWCKZHM,Sonic S1 Massage Gun Blue,Inactive,Inactive,Inactive,Inactive
LP-THHRVPRON,B09PMSSLT8,,www.amazon.com/dp/B09PMSSLT8,Radiate Pro New ASIN,Inactive,Inactive,Inactive,Inactive
LP-TRBBST-BLU,B08VFDB6QY,,www.amazon.com/dp/B08VFDB6QY,Turbo Boost,Inactive,Inactive,Inactive,Inactive
LP-TRBPRS-BLU,B08FBVF8D5,,www.amazon.com/dp/B08FBVF8D5,Turbo Press ,Inactive,Inactive,Inactive,Inactive
LP-TRPCAR-BLK,B08J2D9VJ6,,www.amazon.com/dp/B08J2D9VJ6,TropicCare Steam Foot Massager,Inactive,Inactive,Inactive,Inactive
LP-VITPLS-BLK,B08RF1SZ86,,www.amazon.com/dp/B08RF1SZ86,Vitalize Plus Leg Massager Black,Inactive,Inactive,Inactive,Inactive
LP-VIV-BLU,B084X8W3ZK,,www.amazon.com/dp/B084X8W3ZK,Vivid Vibration Plate Blue,Inactive,Inactive,Inactive,Inactive
LP-VLCYC-BLU,B08YKJ5Y1S,,www.amazon.com/dp/B08YKJ5Y1S,VeloCycle Bike Blue ,OOS,OOS,OOS,OOS
LP-VZGLWPN,B09V5QVJ4L,,www.amazon.com/dp/B09V5QVJ4L,Lifepro Led Face Mask Light Therapy,Inactive,Inactive,Inactive,Inactive
LP-XFLXC-BLU,B08FHRFSM3,,www.amazon.com/dp/B08FHRFSM3,X-FLEXCYCLE,Inactive,Inactive,Inactive,Inactive
LP-XFLXCPLS-BLU,B08FHTQ9J4,,www.amazon.com/dp/B08FHTQ9J4,X-FLEXCYCLE PLUS - OLD,Inactive,Inactive,Inactive,Inactive
LP-XFLXCPRO-BLU,B08FHVL2F1,,www.amazon.com/dp/B08FHVL2F1,X-FLEXCYCLE PRO,Inactive,Inactive,Inactive,Inactive
LPL-RDTEN,B09KJ9HQRP,,www.amazon.com/dp/B09KJ9HQRP,Radiate New ASIN,Inactive,Inactive,Inactive,Inactive
LP-ACUCPRO-BLU,B08J2Y4TXQ,,www.amazon.com/dp/B08J2Y4TXQ,AcuCare Pro Heating + Air Pressure Foot Massager,OOS,OOS,OOS,OOS
LP-FLXSTP-BLU,B09GH731SV,,www.amazon.com/dp/B09GH731SV,Flexstride Pro Under Desk Elliptical Blue,OOS,OOS,OOS,OOS
LP-SNCE-BLK,B08BKZ48RJ,,www.amazon.com/dp/B08BKZ48RJ,SonicE,OOS,OOS,OOS,OOS
LP-VLC2-BLU,B0891XWMHX,Available,www.amazon.com/dp/B0891XWMHX,Velocity Vibrating Ball 2.0 Blue,Pricing error,Pricing error,Pricing error,Pricing error
LP-SNCPLS-BLK,B0891YV6WD,,www.amazon.com/dp/B0891YV6WD,Sonic Plus Black,OOS,OOS,OOS,OOS
LP-VBRCP-BLK,B09P8SNL1R,,www.amazon.com/dp/B09P8SNL1R,VibraCare Plus Foot Massager - Black,NO Coupon,30.00$,30.00$,30.00$
LP-MRVXN-BLU,B09VTBB3N1,,www.amazon.com/dp/B09VTBB3N1,Marvalax Foot Massager ,OOS,OOS,OOS,OOS
LP-PCR-BLK,B09BT6VFH9,,www.amazon.com/dp/B09BT6VFH9,Pacer Motorized Treadmill,200.00$,200.00$,200.00$,200.00$
LP-THRVX,B08BHKP88Q,,www.amazon.com/dp/B08BHKP88Q,Radiate X Compression Sleeve (formerly Thrive X),OOS,OOS,OOS,OOS
LP-WVRENH-BLU,B08HK1CQ4D,,www.amazon.com/dp/B08HK1CQ4D,Waver Enhance,OOS,OOS,OOS,OOS
LP-VLC1-BLU,B07QR7JQL8,,www.amazon.com/dp/B07QR7JQL8,Velocity Vibrating Ball Blue,OOS,OOS,OOS,OOS
LP-ACUCT-BLK,B08VS18Z7F,,www.amazon.com/dp/B08VS18Z7F,AcuCare Tilt Foot Massager,OOS,OOS,OOS,OOS
LP-LMCR-SLV,B095W5PXL6,,www.amazon.com/dp/B095W5PXL6,LumiCure Light Therapy Torch,OOS,OOS,OOS,OOS
LP-RLXT-BLU,B08RJSYRQY,,www.amazon.com/dp/B08RJSYRQY,RelaxaTilt Foot Massager Blue ,OOS,OOS,OOS,OOS
LP-VLC1-BLK,B07LFJMNCV,,www.amazon.com/dp/B07LFJMNCV,Velocity Vibrating Ball Black,OOS,OOS,OOS,OOS
 ,B08P63KZZT,,www.amazon.com/dp/B08P63KZZT,WaverMicro Vibration Plate ,OOS,OOS,OOS,OOS
 ,B097Q46BXG,,www.amazon.com/dp/B097Q46BXG,FlexiMod Massage Tool Black,OOS,OOS,OOS,OOS
LP-DYNFLW-BLK,B08CZGTT8G,,www.amazon.com/dp/B08CZGTT8G,DynaFlow Black ,OOS,OOS,OOS,OOS
LP-DYNL-BLU,B0887916G1,,www.amazon.com/dp/B0887916G1,DynaLife Percussion Muscle Massager Gun Blue,OOS,OOS,OOS,OOS
LP-DYNL-GRY,B0887J4J7H,,www.amazon.com/dp/B0887J4J7H,DynaLife Percussion Muscle Massager Gun Grey,OOS,OOS,OOS,OOS
LP-FLXCPLS-WHT,B08P64TDY8,,www.amazon.com/dp/B08P64TDY8,FlexCycle Exercise Bike White - OLD will not use ,OOS,OOS,OOS,OOS
LP-FLXM-BLU,B093TSWC52,,www.amazon.com/dp/B093TSWC52,FlexiMod Massage Tool Blue,OOS,OOS,OOS,OOS
LP-FLXSTP-GRY,B093QHW8LB,,www.amazon.com/dp/B093QHW8LB,Flexstride Pro Under Desk Elliptical Grey,OOS,OOS,OOS,OOS
